max_ngram,max_features,alpha,r2,rmse
2,100,0.005,0.9374798909163723,3.0944022417096892
2,100,0.008,0.9349468902327212,3.1564646838045274
2,100,0.01,0.932874815963659,3.206340554997812
2,300,0.005,0.9394825273777918,3.044439125807125
2,300,0.008,0.9349973755934307,3.1552396371606255
2,300,0.01,0.9314003281436826,3.2413648827076322
2,500,0.005,0.9461481247662621,2.871886809544217
2,500,0.008,0.9378640342455282,3.0848811007882473
2,500,0.01,0.933010533947798,3.203097522870011
2,600,0.005,0.945240863945805,2.8959775928684426
2,600,0.008,0.9364476954436943,3.119841676668328
2,600,0.01,0.9309912102786764,3.251016014806066
2,700,0.005,0.945047246696043,2.901092871260018
2,700,0.008,0.9364849552100621,3.118926984306665
2,700,0.01,0.9306557541634931,3.2589081332030148
3,100,0.005,0.9374798909163723,3.0944022417096892
3,100,0.008,0.9349468902327212,3.1564646838045274
3,100,0.01,0.932874815963659,3.206340554997812
3,300,0.005,0.9394618020087053,3.044960394463348
3,300,0.008,0.9349687255819966,3.155934899036387
3,300,0.01,0.9313847966685168,3.2417317964815755
3,500,0.005,0.9460758859637648,2.8738123890682203
3,500,0.008,0.937864509696964,3.0848692983326464
3,500,0.01,0.9330470540035976,3.2022243016430094
3,600,0.005,0.94541140020514,2.891464608047376
3,600,0.008,0.9367283615669616,3.1129449733848307
3,600,0.01,0.9313620780379583,3.242268423994587
3,700,0.005,0.9450731921904367,2.9004079267307428
3,700,0.008,0.9365180252939315,3.1181149199637934
3,700,0.01,0.9307495773846317,3.256702724888041
4,100,0.005,0.9374798909163723,3.0944022417096892
4,100,0.008,0.9349468902327212,3.1564646838045274
4,100,0.01,0.932874815963659,3.206340554997812
4,300,0.005,0.9394881747330626,3.044297072366019
4,300,0.008,0.9349903043470722,3.1554112523088444
4,300,0.01,0.9313999226079712,3.2413744635644717
4,500,0.005,0.9460312411666265,2.875001784839878
4,500,0.008,0.9377861427622095,3.086814044981822
4,500,0.01,0.9329477700517245,3.2045976976325434
4,600,0.005,0.9455364060760185,2.8881520371362743
4,600,0.008,0.9372034174573388,3.1012366537040252
4,600,0.01,0.9318748734488301,3.2301341886924195
4,700,0.005,0.9449957761667188,2.9024511820672125
4,700,0.008,0.9364788157269016,3.1190777213253496
4,700,0.01,0.930743536823718,3.2568447592718774
5,100,0.005,0.9374798909163723,3.0944022417096892
5,100,0.008,0.9349468902327212,3.1564646838045274
5,100,0.01,0.932874815963659,3.206340554997812
5,300,0.005,0.9394881747330626,3.044297072366019
5,300,0.008,0.9349903043470722,3.1554112523088444
5,300,0.01,0.9313999226079712,3.2413744635644717
5,500,0.005,0.9461088466361005,2.872933957690526
5,500,0.008,0.9378802101952699,3.084479528774721
5,500,0.01,0.9330563298188005,3.20200247219788
5,600,0.005,0.9455357892126077,2.888168392926845
5,600,0.008,0.9372032394551953,3.101241049057707
5,600,0.01,0.9318747303238526,3.2301375818064133
5,700,0.005,0.9450129173361672,2.9019988960360896
5,700,0.008,0.9365644678811876,3.116974125112225
5,700,0.01,0.9308683145463447,3.253909546726435
